用户ID,用户号码,地市,归属单元名称,用户类型,用户等级,集客标签,融合类型,付费方式,极低标识,三无标识,合约名称,合约类型,合约生命周期,合约到期时间,入网时间,在网时长,三月平均出账费用,套餐资费,套餐产品,主叫计费时长三月均值,流量使用三月均值,语音饱和度,套餐饱和度,终端品牌,终端型号,终端分类,流失分数,流失等级,业务偏好,流失特征
9.22E+15,,沈阳,阜新市分公司战略渠道客户服务中心(单元),3G,NULL,公众,NULL,预付费,否,否,,NULL,单卡,NULL,201610,6,47.7,NULL,NULL,15,2688,0,0,魅族,M570Q,4G,75.97,极高流失风险,流量型,异地用户标签:(非异地用户)||套餐不适配标签:(非标准套餐)||业务转移标签:(平稳)||网外通话标签:(网外通话型)||网络感知标签:(网路感知好)
9.22E+15,,大连,阜新市分公司战略渠道客户服务中心(单元),3G,NULL,V网聚类,NULL,后付费,否,否,,NULL,单卡,NULL,201603,13,118.83,36,NULL,8.67,11073.16,0,0,魅族,M571,4G,50.44,高流失风险,流量型,异地用户标签:(非异地用户)||套餐不适配标签:(非标准套餐)||业务转移标签:(环比下降50%以上)||网外通话标签:(非网外通话型)||网络感知标签:(网路感知好)
9.22E+15,,盘锦,阜新市分公司战略渠道客户服务中心(单元),3G,NULL,公众,NULL,后付费,否,否,,NULL,单卡,NULL,201610,6,21,NULL,NULL,0,173.55,0,0,欧珀,OPPO R7T,4G,99.31,极高流失风险,流量型,异地用户标签:(无语音用户)||套餐不适配标签:(非标准套餐)||业务转移标签:(双低或双无)||网外通话标签:(无语音用户)||网络感知标签:(网路感知好)
9.22E+15,,盘锦,阜新市分公司战略渠道客户服务中心(单元),3G,NULL,V网聚类,NULL,后付费,否,否,,NULL,单卡,NULL,201609,7,39.85,NULL,NULL,5,3933.28,0,0,小米,2015617,4G,93.5,极高流失风险,流量型,异地用户标签:(非异地用户)||套餐不适配标签:(非标准套餐)||业务转移标签:(平稳)||网外通话标签:(非网外通话型)||网络感知标签:(网路感知好)
9.22E+15,,盘锦,阜新市分公司战略渠道客户服务中心(单元),3G,NULL,公众,NULL,预付费,否,否,,NULL,单卡,NULL,201610,6,72.65,NULL,NULL,1.5,5572.46,0,0,荣耀,KNT-AL10,4G,96.07,极高流失风险,流量型,异地用户标签:(非异地用户)||套餐不适配标签:(非标准套餐)||业务转移标签:(平稳)||网外通话标签:(网外通话型)||网络感知标签:(网路感知好)
9.22E+15,,沈阳,阜新市分公司战略渠道客户服务中心(单元),3G,NULL,V网聚类,NULL,后付费,否,否,,NULL,单卡,NULL,201610,6,23.3,NULL,NULL,48.67,4889.23,0,0,苹果,A1586,4G,56.82,高流失风险,流量型,异地用户标签:(非异地用户)||套餐不适配标签:(非标准套餐)||业务转移标签:(平稳)||网外通话标签:(非网外通话型)||网络感知标签:(网路感知好)
9.22E+15,,沈阳,阜新市分公司战略渠道客户服务中心(单元),3G,NULL,类公众,NULL,后付费,否,否,,NULL,单卡,NULL,201610,6,171.33,NULL,NULL,8.33,5183.66,0,0,三星,SM-N9100,4G,41.88,高流失风险,流量型,异地用户标签:(非异地用户)||套餐不适配标签:(非标准套餐)||业务转移标签:(环比上升200%以上)||网外通话标签:(非网外通话型)||网络感知标签:(网路感知好)
9.22E+15,,沈阳,阜新市分公司战略渠道客户服务中心(单元),3G,NULL,类公众,NULL,后付费,否,否,,NULL,单卡,NULL,201609,7,16,NULL,NULL,46.67,783.98,0,0,欧珀,OPPO R8207,4G,53.3,高流失风险,流量型,异地用户标签:(非异地用户)||套餐不适配标签:(非标准套餐)||业务转移标签:(平稳)||网外通话标签:(非网外通话型)||网络感知标签:(网络感知差)
9.22E+15,,沈阳,阜新市分公司战略渠道客户服务中心(单元),3G,NULL,V网聚类,NULL,后付费,否,否,,NULL,单卡,NULL,201610,6,10.03,NULL,NULL,0,507.12,0,0,中兴,MF182,3G,99.42,极高流失风险,流量型,异地用户标签:(无语音用户)||套餐不适配标签:(非标准套餐)||业务转移标签:(双低或双无)||网外通话标签:(无语音用户)||网络感知标签:(网路感知好)
9.22E+15,,沈阳,阜新市分公司战略渠道客户服务中心(单元),3G,NULL,类公众,NULL,后付费,否,否,,NULL,单卡,NULL,201609,7,16.65,NULL,NULL,4.33,4028.66,0,0,小米,2014616,4G,94.92,极高流失风险,流量型,异地用户标签:(非异地用户)||套餐不适配标签:(非标准套餐)||业务转移标签:(环比上升200%以上)||网外通话标签:(非网外通话型)||网络感知标签:(网路感知好)
